MOD15A2H.A2000049.h29v12.006.2020041210522.Fpar_500m,MOD15A2H,A2000049,Lat-37.422222Lon144.094444Samp17Line17,2020041210522,F,F,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.11,0.11,0.11,0.06,0.06,0.05,F,F,F,F,F,F,F,F,0.1,0.1,0.1,0.11,0.13,0.06,0.07,0.05,F,F,F,F,F,F,F,F,F,0.13,0.13,0.13,0.13,0.12,0.12,0.1,F,F,F,F,F,F,F,F,F,F,F,F,F,0.12,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.06,0.06,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,F,F,0.11,0.06,0.08,F,F,F,F,F,F,F,F,F,F,F,F,F,0.14,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.1,0.31,0.24,F,0.26,0.26,0.26,F,F,F,F,F,F,F,F,F,F,F,0.86,0.81,0.81,0.81,0.44,0.44,F,F,F,F,F,F,F,F,0.86,0.86,0.86,0.84,0.84,0.84,0.84,0.16,0.16,F,F,F,F,F,F,F,F,0.25,F,F,F,F,F,F,0.16,F,F,F,F,F,0.35,0.35,0.25,0.25,F,F,F,F,F,F,F,F,F,F,F,F,0.35,0.22,0.05,0.11,0.11,0.11,0.11,F,F,F,F,F,F,F,F,F,F,0.22,0.05,0.04,0.09,0.2,0.1,F,F,F,F,F,F,F,F,F,0.18,0.18,0.23,0.17,0.11,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000049.h29v12.006.2020041210522.Lai_500m,MOD15A2H,A2000049,Lat-37.422222Lon144.094444Samp17Line17,2020041210522,F,F,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,F,F,F,F,F,F,F,F,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,F,F,F,F,F,F,F,F,F,0.2,0.2,0.2,0.2,0.2,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.1,0.1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,0.1,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.7,0.6,F,0.6,0.6,0.6,F,F,F,F,F,F,F,F,F,F,F,4.9,4.0,4.0,4.0,1.2,1.2,F,F,F,F,F,F,F,F,4.9,4.9,4.9,4.4,4.4,4.4,4.4,0.3,0.3,F,F,F,F,F,F,F,F,0.6,F,F,F,F,F,F,0.3,F,F,F,F,F,0.8,0.8,0.6,0.6,F,F,F,F,F,F,F,F,F,F,F,F,0.8,0.5,0.1,0.2,0.2,0.2,0.3,F,F,F,F,F,F,F,F,F,F,0.5,0.1,0.1,0.2,0.4,0.2,F,F,F,F,F,F,F,F,F,0.4,0.4,0.6,0.4,0.2,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000057.h29v12.006.2020037221808.Fpar_500m,MOD15A2H,A2000057,Lat-37.422222Lon144.094444Samp17Line17,2020037221808,0.51,0.52,0.58,0.58,0.47,0.58,0.43,0.43,0.38,0.38,0.56,0.5,0.42,0.43,0.54,0.87,0.87,0.42,0.47,0.52,0.56,0.51,0.42,0.44,0.45,0.46,0.53,0.71,0.48,0.43,0.54,0.88,0.88,0.88,0.7,0.65,0.46,0.38,0.39,0.4,0.45,0.52,0.59,0.71,0.46,0.45,0.52,0.88,0.89,0.89,0.89,0.46,0.38,0.46,0.39,0.37,0.45,0.4,0.4,0.4,0.41,0.5,0.52,0.73,0.89,0.89,0.89,0.89,0.36,0.46,0.42,0.44,0.46,0.39,0.39,0.39,0.42,0.56,0.46,0.85,0.89,0.89,0.89,0.89,0.89,0.38,0.4,0.55,0.38,0.39,0.28,0.35,0.52,0.53,0.69,0.85,0.89,0.89,0.89,0.89,0.89,0.7,0.57,0.52,0.4,0.37,0.38,0.36,0.51,0.54,0.86,0.89,0.89,0.88,0.88,0.88,0.88,0.71,0.71,0.37,0.47,0.56,0.5,0.5,0.51,0.86,0.88,0.89,0.89,0.88,0.88,0.88,0.65,0.53,0.65,0.87,0.52,0.82,0.74,0.76,0.86,0.85,0.88,0.88,0.89,0.89,0.88,0.89,0.71,0.51,0.5,0.89,0.88,0.48,0.74,0.79,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.72,0.71,0.65,0.89,0.89,0.89,0.88,0.79,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.89,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.59,0.87,0.89,0.88,0.88,0.87,0.88,0.88,0.87,0.89,0.89,0.88,0.89,0.89,0.89,0.54,0.51,0.87,0.89,0.88,0.89,0.89,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.88,0.89,0.55,0.55,0.62,0.71,0.72,0.9,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.51,0.52,0.63,0.68,0.72,0.9,0.89,0.89,0.89,0.89,0.88,0.88,0.87,0.86,0.87,0.8,0.81,0.57,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.87,0.87
MOD15A2H.A2000057.h29v12.006.2020037221808.Lai_500m,MOD15A2H,A2000057,Lat-37.422222Lon144.094444Samp17Line17,2020037221808,1.1,1.1,1.4,1.4,1.0,1.3,0.9,0.9,0.7,0.7,1.3,1.1,0.8,0.9,1.4,4.5,4.5,0.8,1.0,1.2,1.3,1.1,0.8,0.9,0.9,1.0,1.2,2.1,1.0,0.8,1.4,5.3,5.3,5.3,1.9,1.6,1.0,0.8,0.7,0.7,0.9,1.1,1.4,2.1,0.9,0.9,1.2,5.3,5.6,5.6,5.6,1.0,0.7,1.0,0.7,0.7,0.9,0.7,0.7,0.7,0.8,1.1,1.3,3.1,5.6,5.6,5.6,5.6,0.7,1.0,0.8,0.9,1.0,0.7,0.8,0.8,0.8,1.3,1.0,4.1,5.5,5.5,5.6,5.6,5.7,0.7,0.7,1.2,0.7,0.7,0.5,0.7,1.1,1.3,2.1,4.1,5.6,5.6,5.6,5.5,5.5,2.2,1.3,1.2,0.7,0.7,0.7,0.6,1.3,1.4,4.5,5.4,5.5,5.3,5.3,5.3,5.3,2.2,2.2,0.6,1.0,1.5,1.3,1.3,1.3,4.3,5.3,5.5,5.5,5.3,5.3,5.3,1.9,1.0,1.8,4.9,1.3,3.6,2.7,2.9,4.4,4.1,5.3,5.3,5.4,5.4,5.3,5.4,2.2,1.0,1.0,5.7,5.1,1.1,3.1,3.2,5.1,5.1,5.3,5.3,5.5,5.5,5.6,2.3,2.1,1.8,5.5,5.5,5.5,5.1,3.2,5.2,5.2,5.2,5.2,5.3,5.3,5.5,5.4,5.4,5.7,5.6,5.6,5.5,5.3,5.0,5.0,5.2,5.2,5.4,5.4,5.6,5.6,5.2,5.1,5.0,5.0,5.3,5.3,5.3,5.3,4.7,4.9,4.7,5.6,5.4,5.4,5.5,5.5,5.1,5.1,5.0,1.6,4.6,5.3,5.3,5.3,4.9,5.1,5.1,4.8,5.6,5.6,5.0,5.5,5.5,5.4,1.3,1.2,4.6,5.3,5.1,5.6,5.6,5.1,5.1,4.8,5.0,5.0,5.0,5.0,5.3,5.4,1.2,1.8,1.6,2.1,2.2,6.0,5.7,5.4,5.4,5.4,5.0,5.0,5.0,5.3,5.3,5.3,1.1,1.2,1.7,1.9,2.2,6.0,5.5,5.5,5.6,5.6,5.2,5.0,4.6,4.4,4.9,3.2,4.1,1.6,5.4,5.4,5.4,5.5,5.5,5.5,5.2,5.2,5.0,5.0,4.6,4.6
MOD15A2H.A2000065.h29v12.006.2020038182640.Fpar_500m,MOD15A2H,A2000065,Lat-37.422222Lon144.094444Samp17Line17,2020038182640,0.44,0.44,0.49,0.49,0.49,0.45,0.45,0.4,0.4,0.49,0.49,0.49,0.49,0.51,0.57,0.89,0.89,0.49,0.49,0.49,0.49,0.49,0.44,0.42,0.46,0.49,0.49,0.58,0.51,0.43,0.57,0.85,0.89,0.89,0.49,0.49,0.49,0.44,0.44,0.44,0.42,0.48,0.45,0.58,0.49,0.4,0.51,0.85,0.9,0.9,0.89,0.49,0.4,0.4,0.44,0.44,0.42,0.4,0.45,0.4,0.39,0.4,0.6,0.86,0.86,0.89,0.89,0.89,0.4,0.42,0.44,0.44,0.44,0.4,0.4,0.35,0.39,0.47,0.52,0.84,0.89,0.89,0.9,0.9,0.9,0.4,0.4,0.4,0.4,0.4,0.34,0.38,0.38,0.55,0.76,0.89,0.89,0.89,0.89,0.89,0.9,0.76,0.43,0.43,0.4,0.41,0.41,0.33,0.55,0.76,0.9,0.89,0.89,0.89,0.88,0.9,0.9,0.76,0.6,0.44,0.4,0.43,0.43,0.53,0.6,0.87,0.89,0.89,0.89,0.89,0.89,0.9,0.71,0.51,0.71,0.89,0.47,0.81,0.86,0.81,0.86,0.89,0.89,0.9,0.9,0.9,0.89,0.9,0.59,0.62,0.53,0.89,0.88,0.47,0.82,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.72,0.69,0.83,0.9,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.9,0.88,0.88,0.88,0.88,0.87,0.88,0.88,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.64,0.88,0.89,0.89,0.88,0.88,0.88,0.87,0.88,0.89,0.89,0.88,0.88,0.88,0.88,0.63,0.65,0.88,0.88,0.89,0.9,0.89,0.89,0.88,0.88,0.88,0.86,0.86,0.88,0.88,0.86,0.53,0.58,0.56,0.58,0.7,0.9,0.89,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.87,0.86,0.52,0.57,0.59,0.65,0.7,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.87,0.57,0.85,0.83,0.87,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.86
MOD15A2H.A2000065.h29v12.006.2020038182640.Lai_500m,MOD15A2H,A2000065,Lat-37.422222Lon144.094444Samp17Line17,2020038182640,0.8,0.8,1.0,1.0,1.0,0.9,0.9,0.7,0.7,1.0,1.0,1.0,1.0,1.1,1.4,5.1,5.4,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.9,1.0,1.0,1.4,1.0,0.7,1.4,4.1,5.5,5.4,1.0,1.0,1.0,0.8,0.8,0.8,0.8,1.0,0.9,1.4,1.0,1.0,1.0,4.1,6.0,6.0,5.7,1.0,0.7,0.7,0.9,0.8,0.8,0.7,0.9,0.7,0.9,0.7,1.6,5.1,5.1,5.7,5.7,5.7,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.9,1.0,1.3,3.9,5.6,5.7,6.6,6.6,6.0,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.9,1.4,2.5,5.6,5.5,5.6,5.6,5.4,6.0,2.5,0.9,0.9,0.7,0.8,0.8,0.5,1.4,2.5,5.9,5.7,5.7,5.5,5.3,6.0,6.0,2.5,1.6,0.8,0.7,1.0,1.0,1.4,1.6,4.9,5.7,5.7,5.6,5.6,5.6,5.8,2.2,0.9,2.1,5.7,1.0,3.9,4.4,4.0,4.3,5.5,5.5,6.0,6.0,5.7,5.4,5.8,1.5,1.3,1.0,5.7,5.0,1.0,4.2,5.4,5.7,5.7,5.5,5.2,5.4,5.4,5.4,2.2,2.4,3.1,6.0,5.3,5.3,5.0,5.3,5.4,5.7,5.7,5.3,5.3,5.6,5.6,5.6,5.6,5.6,6.0,5.3,5.3,5.3,5.3,4.7,5.3,5.3,5.5,5.3,5.3,5.3,5.1,5.1,5.2,5.2,5.3,5.3,5.3,5.3,5.3,4.9,4.9,5.5,5.5,5.5,5.5,5.3,5.1,5.1,5.1,1.7,5.0,5.4,5.4,5.3,5.3,5.3,4.9,5.0,5.5,5.5,5.3,5.3,5.3,5.3,1.8,1.9,5.0,5.0,5.6,5.8,5.4,5.4,5.0,5.0,5.0,4.2,4.2,5.3,5.3,4.3,1.3,1.6,1.2,1.3,2.1,5.8,5.4,5.4,5.3,5.3,5.3,5.0,4.2,4.2,4.9,4.3,1.2,1.5,1.6,1.7,2.2,5.6,5.4,5.4,5.4,5.3,5.1,4.9,4.9,4.9,4.9,4.9,4.9,1.4,4.1,3.8,4.8,5.6,5.6,5.6,5.4,5.1,5.1,5.1,4.9,4.5
MOD15A2H.A2000073.h29v12.006.2020040193626.Fpar_500m,MOD15A2H,A2000073,Lat-37.422222Lon144.094444Samp17Line17,2020040193626,0.37,0.48,0.45,0.45,0.47,0.47,0.43,0.4,0.48,0.44,0.47,0.52,0.38,0.37,0.53,0.86,0.89,0.43,0.54,0.54,0.47,0.39,0.39,0.38,0.4,0.48,0.44,0.47,0.46,0.38,0.46,0.86,0.85,0.89,0.49,0.63,0.5,0.38,0.39,0.37,0.43,0.48,0.54,0.44,0.39,0.4,0.5,0.85,0.85,0.89,0.89,0.51,0.37,0.46,0.38,0.37,0.4,0.38,0.38,0.38,0.4,0.4,0.46,0.76,0.88,0.88,0.89,0.89,0.34,0.46,0.38,0.4,0.39,0.39,0.3,0.39,0.39,0.47,0.43,0.86,0.88,0.9,0.9,0.87,0.9,0.34,0.4,0.4,0.46,0.31,0.3,0.24,0.4,0.46,0.67,0.86,0.85,0.87,0.85,0.85,0.88,0.66,0.52,0.49,0.4,0.37,0.28,0.31,0.48,0.59,0.86,0.86,0.86,0.86,0.85,0.85,0.85,0.69,0.68,0.41,0.47,0.54,0.5,0.5,0.59,0.86,0.85,0.85,0.85,0.85,0.85,0.85,0.62,0.54,0.68,0.89,0.48,0.73,0.8,0.75,0.85,0.85,0.85,0.85,0.85,0.86,0.86,0.89,0.7,0.54,0.52,0.9,0.89,0.47,0.83,0.85,0.86,0.85,0.85,0.85,0.85,0.86,0.87,0.69,0.66,0.71,0.9,0.9,0.89,0.89,0.83,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.87,0.88,0.88,0.88,0.86,0.85,0.89,0.89,0.89,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.85,0.85,0.86,0.77,0.86,0.86,0.88,0.89,0.89,0.89,0.85,0.86,0.85,0.85,0.85,0.85,0.85,0.85,0.54,0.78,0.84,0.85,0.89,0.89,0.89,0.89,0.88,0.86,0.85,0.86,0.86,0.86,0.85,0.58,0.54,0.86,0.87,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.85,0.84,0.84,0.86,0.85,0.54,0.53,0.51,0.58,0.64,0.9,0.9,0.9,0.89,0.89,0.85,0.89,0.83,0.84,0.86,0.87,0.51,0.54,0.54,0.58,0.66,0.85,0.9,0.9,0.89,0.89,0.86,0.89,0.83,0.84,0.89,0.89,0.77,0.68,0.88,0.87,0.87,0.88,0.87,0.89,0.89,0.89,0.84,0.89,0.83,0.89
MOD15A2H.A2000073.h29v12.006.2020040193626.Lai_500m,MOD15A2H,A2000073,Lat-37.422222Lon144.094444Samp17Line17,2020040193626,0.7,1.0,0.9,0.9,1.0,1.0,0.9,0.8,1.0,0.9,1.0,1.1,0.7,0.7,1.4,4.4,5.6,0.9,1.2,1.2,1.0,0.7,0.7,0.7,0.8,1.0,0.9,1.0,0.9,0.6,1.1,4.4,4.1,5.6,1.0,1.6,1.1,0.7,0.7,0.7,0.9,1.0,1.2,1.0,0.7,0.7,1.1,4.1,4.1,5.6,5.6,1.1,0.7,0.9,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.7,1.1,2.9,5.0,5.0,5.8,5.8,0.6,0.9,0.7,0.8,0.7,0.7,0.5,0.7,0.7,1.0,1.0,4.2,5.0,6.0,6.0,4.9,5.9,0.6,0.8,0.8,0.9,0.6,0.5,0.4,0.8,1.1,2.0,4.2,4.2,4.6,4.2,4.2,5.0,2.0,1.1,1.1,0.8,0.7,0.5,0.5,1.1,1.7,4.5,4.5,4.5,4.3,4.2,4.1,4.1,2.0,2.0,0.7,1.0,1.4,1.2,1.3,1.6,4.5,4.1,4.1,4.1,4.2,4.2,4.0,1.7,1.0,2.0,5.7,1.2,2.5,3.4,2.7,4.1,4.1,4.1,4.1,4.1,4.4,4.4,5.3,2.0,1.0,1.0,6.3,5.5,1.1,3.7,4.1,4.3,4.0,4.1,4.1,4.1,4.4,4.8,2.0,1.8,2.1,6.3,6.3,5.5,5.5,3.7,4.1,4.1,4.0,4.1,4.1,4.2,4.3,4.8,5.1,5.1,5.1,4.4,4.1,5.6,5.5,5.5,4.1,4.1,4.1,4.1,4.1,4.2,4.3,4.1,4.1,4.2,3.0,4.4,4.4,4.9,5.5,5.5,5.5,4.1,4.4,4.1,4.1,4.2,4.1,4.1,4.1,1.4,3.0,3.9,4.2,5.7,5.7,5.5,5.5,5.1,4.4,4.1,4.4,4.4,4.5,4.2,1.6,1.4,4.2,4.5,5.2,5.7,6.0,5.6,5.6,5.6,5.6,4.1,3.8,3.9,4.5,4.2,1.3,1.3,1.1,1.4,1.8,6.0,6.0,6.0,5.6,5.6,4.1,5.4,3.8,3.9,4.4,4.9,1.1,1.4,1.4,1.4,1.8,4.0,6.0,6.0,5.6,5.6,4.4,5.5,3.8,4.0,5.5,5.5,3.0,1.9,5.1,4.7,4.7,4.8,4.9,5.5,5.5,5.6,3.9,5.6,3.8,5.4
MOD15A2H.A2000081.h29v12.006.2020040193119.Fpar_500m,MOD15A2H,A2000081,Lat-37.422222Lon144.094444Samp17Line17,2020040193119,0.35,0.39,0.4,0.39,0.38,0.37,0.37,0.37,0.4,0.42,0.47,0.42,0.4,0.41,0.47,0.88,0.88,0.4,0.46,0.46,0.44,0.39,0.37,0.34,0.4,0.4,0.4,0.4,0.44,0.38,0.52,0.82,0.89,0.88,0.44,0.51,0.39,0.39,0.38,0.38,0.39,0.41,0.4,0.38,0.38,0.41,0.41,0.89,0.88,0.88,0.88,0.39,0.38,0.38,0.38,0.39,0.38,0.4,0.4,0.35,0.38,0.4,0.47,0.77,0.82,0.89,0.89,0.89,0.38,0.39,0.38,0.4,0.39,0.4,0.34,0.35,0.35,0.4,0.52,0.79,0.89,0.89,0.89,0.89,0.89,0.33,0.4,0.4,0.39,0.33,0.3,0.28,0.36,0.43,0.59,0.9,0.89,0.88,0.89,0.89,0.89,0.66,0.4,0.4,0.38,0.33,0.27,0.26,0.46,0.6,0.88,0.9,0.89,0.88,0.88,0.88,0.89,0.66,0.61,0.37,0.38,0.41,0.44,0.48,0.53,0.8,0.88,0.88,0.88,0.88,0.88,0.88,0.65,0.51,0.6,0.89,0.46,0.75,0.78,0.75,0.8,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.66,0.53,0.51,0.89,0.88,0.47,0.84,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.66,0.67,0.66,0.85,0.89,0.88,0.87,0.84,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.88,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.87,0.86,0.88,0.88,0.88,0.88,0.89,0.88,0.78,0.8,0.55,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.85,0.88,0.88,0.89,0.89,0.89,0.88,0.55,0.58,0.88,0.79,0.84,0.84,0.88,0.88,0.87,0.87,0.88,0.86,0.86,0.86,0.88,0.88,0.49,0.55,0.48,0.52,0.6,0.89,0.89,0.89,0.89,0.87,0.88,0.88,0.86,0.88,0.88,0.88,0.57,0.55,0.56,0.66,0.61,0.85,0.89,0.89,0.89,0.88,0.88,0.87,0.87,0.87,0.88,0.88,0.88,0.54,0.81,0.88,0.84,0.84,0.89,0.89,0.88,0.88,0.88,0.87,0.87,0.86
MOD15A2H.A2000081.h29v12.006.2020040193119.Lai_500m,MOD15A2H,A2000081,Lat-37.422222Lon144.094444Samp17Line17,2020040193119,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.8,1.0,0.8,0.7,0.8,1.1,5.0,5.0,0.7,0.9,0.9,0.9,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.9,0.6,1.4,3.6,5.4,5.3,0.9,1.2,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.8,5.4,5.3,5.3,5.4,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.0,3.0,3.6,5.4,5.4,5.4,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.7,1.2,3.1,5.4,5.5,5.5,5.4,5.4,0.6,0.7,0.7,0.7,0.6,0.6,0.5,0.7,0.9,1.7,5.7,5.4,5.3,5.5,5.4,5.5,1.8,0.8,0.7,0.7,0.6,0.5,0.4,1.1,1.7,5.3,5.7,5.4,5.3,5.2,5.1,5.3,1.8,1.6,0.6,0.7,1.0,1.1,1.1,1.3,3.4,5.3,5.3,5.2,5.2,5.2,5.1,1.8,1.0,1.6,5.5,1.0,2.8,3.1,2.7,3.4,5.1,5.0,5.0,5.2,5.2,5.3,5.6,1.8,1.0,1.0,5.5,5.1,1.1,3.8,5.0,5.0,5.0,5.0,5.0,5.0,5.2,5.3,1.8,1.9,1.9,4.1,5.4,5.1,4.9,3.8,4.9,5.0,4.9,4.9,5.1,5.2,5.3,5.3,5.3,5.3,5.2,5.4,5.1,5.0,5.0,4.9,5.1,5.1,4.9,5.1,5.1,5.1,5.0,5.0,5.3,5.2,5.1,5.1,5.1,5.2,4.9,4.8,4.5,5.1,5.1,5.2,5.2,5.4,5.0,3.1,3.3,1.4,4.9,5.1,5.2,5.3,5.3,5.0,4.9,4.0,5.0,5.2,5.4,5.4,5.4,5.2,1.4,1.5,4.9,3.2,3.9,4.0,5.0,5.0,4.9,4.9,5.0,4.2,4.2,4.2,5.2,5.2,1.2,1.4,1.0,1.1,1.6,5.6,5.6,5.4,5.4,4.9,5.0,5.0,4.2,5.1,5.1,5.1,1.3,1.4,1.4,1.8,1.6,4.1,5.4,5.4,5.4,5.3,5.3,4.7,4.7,4.9,5.1,5.1,5.1,1.3,3.4,5.1,4.0,3.9,5.4,5.4,5.0,5.0,5.3,4.7,4.7,4.3
MOD15A2H.A2000089.h29v12.006.2020041212200.Fpar_500m,MOD15A2H,A2000089,Lat-37.422222Lon144.094444Samp17Line17,2020041212200,0.36,0.35,0.4,0.38,0.37,0.37,0.36,0.36,0.39,0.39,0.39,0.53,0.36,0.38,0.52,0.89,0.89,0.4,0.4,0.48,0.4,0.38,0.36,0.29,0.29,0.42,0.39,0.47,0.37,0.35,0.45,0.73,0.89,0.89,0.38,0.46,0.38,0.38,0.38,0.36,0.38,0.42,0.39,0.39,0.37,0.37,0.37,0.76,0.79,0.88,0.84,0.37,0.36,0.38,0.38,0.38,0.38,0.38,0.38,0.32,0.34,0.37,0.48,0.75,0.89,0.88,F,0.82,0.36,0.36,0.38,0.36,0.37,0.42,0.32,0.22,0.32,0.37,0.48,0.74,0.81,0.83,0.83,F,0.84,0.3,0.3,0.34,0.44,0.35,0.35,0.22,0.34,0.42,0.48,0.82,0.79,0.83,0.86,0.86,0.86,0.88,0.44,0.43,0.43,0.33,0.21,0.21,0.42,0.61,0.82,0.79,0.84,F,0.87,0.85,0.85,0.88,0.83,0.4,0.42,0.36,0.45,0.44,0.62,0.82,0.82,0.82,0.84,0.84,0.9,0.85,0.56,0.65,0.69,0.84,0.49,0.76,0.73,0.75,0.79,0.82,F,0.83,0.83,0.89,0.9,0.86,0.6,0.6,0.57,0.87,0.81,0.43,F,0.81,0.79,F,0.87,0.75,0.89,0.89,0.86,0.72,0.62,0.83,0.89,0.87,0.84,0.86,0.8,0.81,0.89,0.89,0.87,0.86,0.86,0.89,F,0.82,0.84,0.89,0.85,0.85,0.79,0.82,0.77,0.79,0.81,0.85,0.86,0.86,0.86,0.86,0.86,0.89,0.89,0.87,0.89,0.86,0.86,0.86,0.81,0.76,0.85,0.85,0.85,0.85,0.79,0.83,0.87,0.86,0.55,0.88,0.88,0.86,0.86,0.84,0.84,0.79,0.76,0.79,0.79,0.74,0.88,0.86,0.86,0.5,0.55,0.85,0.85,0.85,0.84,0.84,0.85,0.85,0.82,0.82,0.7,0.74,0.88,0.86,0.86,0.54,0.53,0.45,0.49,0.59,0.79,0.89,0.88,0.88,0.26,0.75,0.87,0.81,0.77,0.82,0.83,0.54,0.64,0.59,0.57,0.62,0.91,0.89,0.89,0.89,0.47,0.06,0.87,0.78,0.77,0.84,0.81,0.85,0.61,0.85,0.85,0.84,0.86,0.84,0.89,0.89,0.8,0.87,0.81,0.78,0.87
