MOD15A2H.A2000049.h30v12.006.2020041210828.Lai_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,0.2,0.3,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,0.1,0.1,0.3,0.2,0.2,F,F,F,0.7,F,F,F,F,F,F,F,0.1,0.3,0.4,0.3,0.5,F,0.3,0.7,0.3,0.3,F,F,F,F,F,F,F,F,F,F,0.3,F,0.2,0.5,0.5,0.5,F,F,F,F,F,F,F,0.1,F,F,F,0.3,0.3,0.3,0.5,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.3,0.6,0.8,0.8,0.5,F,F,F,F,F,F,F,F,F,F,0.3,0.8,1.0,0.8,F,F,F,F,F,F,F,F,F,F,0.3,0.4,0.8,0.8,0.8,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.7,0.7,0.8,F,F,0.8,0.8,0.6,F,F,F,F,F,F,0.3,0.7,0.7,0.6,F,F,F,0.9,0.8,F,F,0.6,1.0,1.1,F,0.3,F,0.5,0.5,0.5,F,F,1.0,0.9,1.0,0.6,0.6,F,F,1.1,F,0.3,0.5,F,F,F,0.5,0.5,0.5,0.6,0.6,0.6,0.6,F,F,F,F,F,0.3,0.3,F,F,0.5,0.5,0.5,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,0.5,0.5,0.7,F,F,F,F,F,0.2,F,F,0.6,0.6,F,0.9,0.9,0.5,0.8,0.8,0.7,F,F,F,0.2,0.2,0.5,0.5,0.5,F,F,F,1.0,1.5,1.4,1.4,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2007361.h30v12.006.2021081200305.Lai_500m,MOD15A2H,A2007361,Lat-33.6152Lon150.7236Samp17Line17,2021081200305,5.6,5.9,5.9,2.6,3.0,3.3,1.7,2.5,3.2,3.3,3.0,2.8,2.7,2.9,3.9,4.0,1.7,5.9,6.2,3.1,2.2,2.8,3.1,3.1,2.8,2.6,3.0,2.9,2.5,2.9,3.9,1.9,2.0,F,5.6,6.5,2.5,2.8,3.4,2.9,2.6,2.9,2.9,2.3,2.5,3.8,1.9,1.8,2.2,F,2.8,5.9,2.9,2.7,2.9,2.9,2.7,3.0,2.9,2.4,3.0,2.6,3.2,3.8,2.0,1.9,1.3,1.5,2.5,2.7,2.9,2.5,2.1,2.8,2.9,2.2,2.9,1.4,1.5,2.2,1.5,1.2,1.4,1.5,F,2.8,2.6,2.6,2.6,2.3,2.5,1.6,1.6,1.3,1.8,0.9,1.0,1.0,1.5,F,F,F,3.3,2.5,2.6,2.6,2.7,1.9,2.8,2.3,1.0,1.6,1.6,1.4,1.8,2.1,1.8,F,F,1.8,1.8,3.1,1.6,2.1,2.8,F,F,1.4,2.3,2.2,2.3,2.5,1.2,F,F,1.4,2.2,2.2,2.2,2.6,F,1.5,2.1,2.2,2.4,2.5,2.7,2.5,1.7,1.7,2.7,2.7,2.6,2.8,1.8,1.4,F,1.7,1.6,2.1,2.1,2.2,2.7,2.3,2.2,2.4,1.6,2.3,2.6,2.4,2.8,F,F,1.2,1.5,1.7,2.0,2.2,2.2,2.5,2.0,1.9,1.9,2.3,1.5,2.2,2.1,F,1.4,F,1.7,1.6,1.6,1.6,1.8,2.2,1.9,2.4,2.6,2.8,2.2,F,2.0,F,1.4,1.5,F,F,F,1.8,1.5,1.6,1.8,1.5,2.4,1.8,1.6,2.1,F,F,F,1.0,0.9,1.1,1.2,1.4,1.3,1.4,2.0,1.9,1.7,2.3,1.9,F,F,F,F,F,1.7,1.7,1.4,1.4,1.7,1.8,1.6,1.6,2.3,1.6,2.5,F,1.6,F,F,1.5,1.4,F,1.4,1.4,1.9,2.0,1.7,1.6,1.9,2.2,1.8,1.9,1.9,2.1,2.3,1.5,1.4,1.6,F,1.9,2.2,1.7,1.6,1.6,1.6,2.1,1.6,1.6,1.8,5.2,5.2,5.8,1.8,1.5,2.8
MOD15A2H.A2008001.h30v12.006.2021082074434.Lai_500m,MOD15A2H,A2008001,Lat-33.6152Lon150.7236Samp17Line17,2021082074434,F,3.8,4.4,2.1,3.0,2.7,1.7,2.5,3.0,2.9,3.0,2.8,2.7,3.0,2.3,2.3,1.0,F,4.4,2.8,1.9,2.8,3.3,3.1,2.5,2.9,2.8,2.3,2.5,2.7,2.8,1.5,1.5,F,4.7,4.7,2.2,2.9,2.9,2.9,2.6,2.7,2.6,2.3,2.2,2.9,1.5,1.5,1.8,F,2.8,5.9,2.9,2.9,2.9,2.6,2.7,3.0,2.3,2.3,2.2,2.4,2.8,2.8,1.8,1.9,1.3,1.5,2.5,2.7,2.9,2.5,2.1,2.5,2.2,2.4,2.4,1.5,1.5,2.2,1.3,1.2,1.3,1.5,F,2.8,2.6,2.1,2.3,2.3,2.2,1.3,1.1,1.3,1.7,1.0,1.6,1.0,1.2,F,F,F,2.4,2.2,2.1,2.2,2.4,1.9,3.0,2.2,1.0,1.1,1.6,1.1,1.8,2.1,1.7,F,F,1.5,1.5,2.8,1.6,2.1,2.2,F,F,1.4,2.3,2.3,1.7,2.5,1.2,F,F,1.6,2.2,2.2,2.2,2.6,F,1.4,2.0,2.2,2.4,2.5,2.7,2.5,1.6,1.4,1.5,2.5,0.6,2.8,1.6,1.4,F,1.7,1.3,1.6,1.7,2.2,1.9,2.3,2.2,1.5,1.6,2.3,0.7,1.8,1.1,F,F,1.1,1.5,1.1,1.4,2.2,2.2,2.5,2.0,1.8,1.9,1.7,1.0,2.2,2.1,F,0.9,F,1.0,1.4,1.4,1.4,1.8,2.2,1.4,2.4,2.6,1.9,2.2,F,2.0,F,1.4,1.5,F,F,F,1.8,1.4,1.1,1.8,1.2,2.4,1.4,1.4,2.1,F,F,F,0.7,0.5,0.5,1.2,0.7,0.7,1.1,1.1,1.0,1.3,1.4,0.9,F,F,F,F,F,1.7,1.6,1.4,0.7,0.9,1.4,1.0,0.8,1.1,1.1,1.1,F,0.9,F,F,1.5,1.2,F,1.1,0.6,1.0,1.9,1.5,1.1,1.1,1.4,1.0,1.7,1.8,2.1,2.3,1.5,1.3,1.3,F,1.7,2.2,1.7,1.6,1.6,1.1,1.6,1.2,1.1,1.4,F,4.4,4.3,1.8,1.5,2.3
MOD15A2H.A2008009.h30v12.006.2021083023108.Lai_500m,MOD15A2H,A2008009,Lat-33.6152Lon150.7236Samp17Line17,2021083023108,6.2,6.5,6.2,2.1,1.9,1.9,1.4,1.7,1.8,1.8,1.6,1.6,1.6,2.5,2.1,1.4,1.2,6.2,6.6,2.5,1.9,1.7,1.7,1.7,1.7,2.1,1.6,1.6,1.6,3.0,2.6,1.5,1.0,F,6.3,5.4,1.7,1.7,1.7,1.7,1.7,1.6,1.6,2.1,1.6,1.6,1.3,1.0,2.1,F,1.4,6.2,1.8,1.8,1.8,1.8,2.3,2.3,1.6,2.1,1.6,1.6,2.5,1.5,1.9,1.6,3.3,0.9,2.2,2.0,1.8,1.5,1.5,1.6,1.6,1.5,1.5,1.0,1.2,1.5,1.0,1.0,1.0,2.3,F,2.2,1.5,1.4,1.4,1.6,1.6,1.2,3.0,1.0,1.4,1.2,1.2,0.8,1.0,F,F,F,1.8,1.6,1.6,2.1,2.3,1.0,1.4,1.4,1.0,1.2,1.2,1.1,1.6,1.6,1.1,F,F,1.4,1.2,2.0,1.2,1.6,1.9,F,F,1.0,2.6,1.6,1.7,1.8,1.0,F,F,1.0,2.3,1.5,1.5,1.6,F,1.2,1.5,1.5,2.0,1.5,1.7,1.8,1.8,1.2,1.5,1.5,2.1,1.9,1.5,1.2,F,1.1,1.4,1.5,2.0,1.5,2.3,1.5,2.0,2.0,1.2,1.7,1.7,1.0,1.7,F,F,1.1,1.2,1.3,1.2,1.6,1.6,1.6,1.4,1.4,1.4,1.7,1.0,1.4,1.5,F,1.0,F,1.3,1.2,1.2,1.2,1.1,1.6,1.4,1.5,1.5,1.2,1.2,F,1.5,F,1.0,1.4,F,F,F,1.2,1.1,1.1,1.2,1.1,1.5,1.2,1.0,1.2,F,F,F,0.8,0.8,0.8,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,F,F,F,F,F,1.3,1.2,1.0,1.2,1.3,1.3,1.2,1.2,1.3,1.4,1.2,F,1.2,F,F,1.0,1.1,F,1.0,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.6,1.6,1.6,1.2,1.2,1.2,1.2,1.5,F,1.2,1.3,1.2,1.2,1.2,1.2,1.5,1.1,1.2,1.6,5.1,4.7,4.7,1.6,1.6,1.5
MOD15A2H.A2008017.h30v12.006.2021084004833.Lai_500m,MOD15A2H,A2008017,Lat-33.6152Lon150.7236Samp17Line17,2021084004833,4.2,4.4,4.6,2.4,2.9,2.9,1.5,2.4,2.7,3.3,3.0,2.7,2.5,2.5,0.9,0.5,1.2,4.4,4.6,3.4,2.2,2.7,3.2,3.0,2.7,2.5,3.1,2.7,0.8,0.1,0.9,0.3,1.3,F,4.5,4.8,2.6,2.8,3.0,3.0,2.8,2.6,3.3,1.6,1.1,0.1,0.1,1.5,2.9,F,2.4,4.3,3.0,2.8,3.0,2.8,2.9,3.0,2.4,2.3,1.1,1.8,2.6,3.7,2.3,1.7,1.0,1.6,3.0,2.4,2.8,2.4,2.1,2.4,2.7,2.3,2.3,1.2,1.5,1.7,1.3,1.3,1.2,1.2,F,2.3,2.5,2.0,2.1,2.4,2.7,1.5,1.2,1.2,1.5,1.2,1.0,1.0,0.8,F,F,F,2.4,2.6,2.3,2.4,2.7,1.7,4.0,2.1,1.0,1.2,1.6,1.0,1.0,1.8,1.5,F,F,1.6,1.5,3.1,1.6,2.1,1.7,F,F,1.0,1.6,1.4,3.7,2.9,1.5,F,F,1.0,2.3,2.5,2.3,1.4,F,1.5,0.8,1.0,1.9,2.4,3.7,1.4,2.3,1.7,2.0,2.7,2.8,2.0,F,0.1,F,0.3,F,2.5,2.3,1.5,3.0,1.4,F,1.5,1.5,2.2,2.7,1.0,0.4,F,F,0.1,1.6,2.2,1.7,1.5,1.0,1.9,1.7,1.5,F,2.2,1.0,0.4,0.7,F,0.6,F,1.4,1.2,1.0,1.2,1.1,0.9,1.1,1.8,2.1,2.2,2.2,F,0.7,F,0.9,1.5,F,F,F,0.9,0.8,1.2,2.0,1.1,2.3,1.6,0.6,1.2,F,F,F,1.0,0.2,0.6,1.2,1.3,1.6,1.2,1.4,1.0,1.0,0.6,0.7,F,F,F,F,F,0.8,1.4,1.1,0.9,1.6,0.9,0.4,0.4,0.7,0.7,F,F,0.5,F,F,F,F,F,0.6,0.3,F,F,0.7,0.7,0.4,0.6,F,0.3,0.6,0.8,1.1,1.0,2.1,2.1,F,1.4,1.4,1.1,1.3,0.5,0.4,0.6,0.5,0.5,F,F,0.6,F,1.4,1.2,F
MOD15A2H.A2008025.h30v12.006.2021084213637.Lai_500m,MOD15A2H,A2008025,Lat-33.6152Lon150.7236Samp17Line17,2021084213637,4.1,4.4,6.2,4.9,2.7,2.4,1.7,1.9,2.3,2.3,2.1,2.1,2.2,2.4,1.9,2.2,1.4,4.4,4.4,5.3,2.7,2.8,2.3,2.3,3.0,2.2,2.5,2.5,2.8,2.6,2.0,1.6,1.5,F,4.3,6.0,2.0,2.7,3.3,2.2,3.0,3.0,3.2,2.9,2.3,2.3,1.8,1.6,2.5,F,2.2,5.9,3.1,3.1,3.3,2.7,3.2,3.2,2.7,2.4,2.1,2.4,2.3,2.1,2.0,1.7,1.5,1.5,2.7,2.9,2.9,2.6,2.4,2.6,2.5,2.4,2.4,1.2,1.5,1.8,1.6,1.4,1.6,1.1,F,2.8,2.7,2.1,2.0,2.6,2.5,1.6,1.5,1.4,1.7,1.0,1.2,1.0,1.4,F,F,F,2.6,2.1,2.0,2.7,2.5,1.9,2.2,2.4,1.0,0.9,1.2,1.0,1.4,1.5,1.0,F,F,1.7,1.6,2.5,1.6,2.6,2.2,F,F,0.9,1.8,1.8,1.6,1.6,1.2,F,F,1.2,2.7,2.2,2.1,2.2,F,1.6,1.6,1.6,1.6,2.2,1.8,2.0,1.8,1.9,1.5,2.0,2.2,1.6,2.1,1.5,F,1.0,0.9,1.6,1.6,2.0,2.4,2.0,1.9,2.0,1.4,2.6,2.6,1.6,1.6,F,F,1.0,1.2,1.6,1.5,2.0,2.0,2.0,1.9,1.5,2.0,2.0,1.6,2.1,5.5,F,1.1,F,1.5,1.1,1.0,1.2,1.3,1.9,1.5,1.8,2.0,1.9,1.6,F,2.4,F,0.9,1.0,F,F,F,1.2,1.1,1.2,1.5,1.1,1.4,1.4,1.5,1.6,F,F,F,0.7,0.7,1.1,1.3,1.3,1.2,1.2,1.7,1.3,1.4,1.6,1.2,F,F,F,F,F,2.0,1.6,1.0,1.3,1.8,1.6,1.3,1.2,1.6,1.3,1.6,F,1.2,F,F,1.4,1.2,F,1.1,1.3,2.2,2.2,2.0,1.4,1.1,1.6,1.6,1.2,1.1,1.8,2.2,1.4,2.1,1.4,F,1.6,1.7,2.1,1.9,1.0,1.0,1.3,0.9,0.9,1.2,2.6,4.5,2.7,2.1,2.2,2.0
MOD15A2H.A2008033.h30v12.006.2021085142005.Lai_500m,MOD15A2H,A2008033,Lat-33.6152Lon150.7236Samp17Line17,2021085142005,5.4,5.6,5.6,3.0,2.6,F,1.5,F,F,F,F,2.1,F,F,F,F,1.0,5.5,5.6,2.3,2.4,F,F,F,F,F,0.3,2.1,2.2,F,2.1,1.2,1.0,F,5.5,5.5,2.2,F,F,0.2,0.7,2.0,2.2,2.2,2.2,F,1.5,1.2,0.2,F,1.4,5.5,2.2,2.2,2.1,2.1,0.7,2.0,2.1,2.1,2.2,F,F,F,1.4,1.5,1.1,1.1,2.2,2.1,2.1,1.9,1.9,0.9,0.4,F,F,1.4,1.0,1.6,1.2,1.2,1.2,1.2,F,2.1,0.8,1.6,1.6,0.6,0.6,1.2,1.2,1.0,1.5,1.2,0.8,1.0,1.3,F,F,F,1.9,1.6,F,1.4,0.6,1.4,1.4,1.5,1.0,1.2,1.2,1.2,1.6,1.2,1.2,F,F,1.3,1.3,1.8,1.4,0.4,1.4,F,F,1.0,1.8,1.7,1.5,1.5,1.1,F,F,1.2,1.7,1.8,1.8,1.6,F,1.5,1.6,1.8,1.8,1.8,1.9,1.9,1.4,1.4,F,F,F,1.4,1.0,1.0,F,1.5,1.5,1.7,1.7,1.9,2.0,F,F,F,1.5,F,F,F,1.4,F,F,1.0,1.5,1.7,1.7,1.9,1.8,1.8,1.5,F,F,F,F,1.6,1.8,F,1.0,F,1.5,1.3,1.4,1.4,1.7,1.8,1.5,1.7,1.8,1.8,1.5,F,1.8,F,1.2,1.1,F,F,F,1.4,1.4,1.5,1.7,1.4,1.8,1.8,1.2,1.5,F,F,F,0.9,0.7,0.7,1.4,1.4,1.5,1.5,1.7,1.6,1.6,1.7,1.6,F,F,F,F,F,1.5,1.5,1.2,1.4,1.6,1.6,1.5,1.5,1.8,1.6,1.7,F,1.6,F,F,1.1,1.1,F,1.2,1.5,1.6,1.8,1.6,1.5,1.6,1.8,1.6,1.6,1.6,1.2,1.2,1.2,1.5,1.5,F,1.8,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.5,1.6,4.6,4.4,4.4,1.5,1.5,0.8
MOD15A2H.A2008041.h30v12.006.2021086075206.Lai_500m,MOD15A2H,A2008041,Lat-33.6152Lon150.7236Samp17Line17,2021086075206,F,F,F,F,F,F,F,F,1.1,0.9,0.4,0.7,F,F,F,F,F,F,F,F,F,F,F,F,0.8,0.9,0.4,F,F,F,F,F,F,F,F,F,F,F,1.1,0.8,0.8,0.8,0.5,0.5,F,F,F,F,F,F,0.6,F,0.9,1.2,1.2,1.6,2.7,0.5,0.5,0.4,F,F,F,F,0.7,0.9,0.7,0.4,F,F,4.1,4.5,2.2,1.7,1.4,0.9,F,F,0.3,0.3,0.8,0.5,0.5,0.4,F,F,4.1,4.5,2.5,2.2,1.5,0.7,0.5,F,F,1.2,F,F,0.6,F,F,F,F,F,2.3,1.4,2.5,0.7,0.8,F,1.0,1.2,0.2,F,F,F,0.6,F,F,1.0,1.0,F,1.4,2.2,0.8,F,F,1.2,F,F,F,0.6,0.7,F,F,0.7,1.8,0.8,0.7,1.4,F,0.3,0.7,0.7,F,F,F,F,F,0.7,0.7,1.6,1.8,2.0,1.4,0.7,F,0.6,0.5,1.1,1.1,1.0,1.2,1.4,F,1.8,0.8,1.2,1.9,1.2,0.8,F,F,F,0.5,0.8,0.7,1.6,2.0,1.4,0.5,1.3,1.1,1.1,0.9,1.0,1.8,F,0.3,F,F,F,0.7,1.1,1.4,1.2,0.9,1.2,1.5,1.3,1.9,F,2.2,F,0.4,0.6,F,F,F,0.5,0.8,0.9,1.3,1.2,1.2,1.3,0.9,1.5,F,F,F,0.9,0.3,0.3,F,0.6,0.6,0.6,1.5,1.6,1.2,1.5,0.9,F,F,F,F,F,1.1,F,F,0.5,0.3,0.9,1.1,1.1,1.6,1.2,2.0,F,1.4,F,F,1.5,1.1,F,F,F,1.0,1.0,1.6,1.3,1.1,1.8,1.9,1.5,1.5,1.7,1.6,1.2,1.4,2.1,F,F,F,1.4,1.6,1.3,1.4,1.6,1.4,1.1,1.5,F,F,F,1.6,2.1,1.9
MOD15A2H.A2008049.h30v12.006.2021086213746.Lai_500m,MOD15A2H,A2008049,Lat-33.6152Lon150.7236Samp17Line17,2021086213746,5.4,5.6,5.6,3.3,2.9,2.6,1.5,2.1,2.2,2.1,2.4,2.1,2.1,2.1,1.8,1.9,1.0,5.6,6.0,2.5,3.6,2.2,2.3,2.2,2.1,2.1,2.1,2.5,2.2,2.2,1.8,1.2,1.2,F,5.7,5.6,2.2,2.2,2.3,2.1,2.2,2.6,2.1,2.5,2.1,2.2,1.2,1.2,1.8,F,1.6,5.6,2.1,2.4,2.4,2.2,2.2,2.6,2.1,1.9,2.1,1.9,2.0,1.8,1.8,1.3,1.1,1.1,2.2,2.2,2.2,2.1,1.9,2.0,2.1,2.1,2.1,1.3,1.3,1.6,1.0,1.0,1.3,1.5,F,2.1,2.1,1.9,1.7,2.0,2.0,1.5,1.2,1.0,1.6,1.2,1.2,1.0,1.2,F,F,F,2.0,1.9,1.7,2.0,2.6,1.5,2.2,1.2,0.9,0.9,1.2,1.2,1.5,1.6,1.5,F,F,1.5,1.4,1.9,1.5,1.6,1.9,F,F,1.1,1.9,2.0,1.6,1.6,1.2,F,F,1.2,1.9,1.9,1.8,1.8,F,1.4,1.6,1.8,1.9,2.1,1.9,1.7,1.6,1.5,1.6,3.7,2.9,1.9,1.8,1.2,F,1.5,1.3,1.8,1.8,2.1,2.2,1.9,1.7,1.6,1.5,2.8,2.9,1.4,1.6,F,F,1.0,1.6,1.8,1.6,1.9,2.0,2.0,2.0,1.8,2.3,2.9,1.7,1.7,2.0,F,1.1,F,1.6,1.3,1.5,1.4,1.6,1.8,1.6,1.8,1.9,2.1,2.5,F,1.6,F,1.3,1.6,F,F,F,1.5,1.4,1.4,1.6,1.5,1.8,1.8,1.3,1.4,F,F,F,0.7,0.5,0.5,1.3,1.4,1.4,1.4,1.6,1.6,1.6,1.9,1.1,F,F,F,F,F,1.5,1.5,1.4,1.4,1.7,1.7,1.5,1.4,1.6,1.6,1.9,F,1.6,F,F,1.1,1.1,F,1.3,1.3,1.9,1.9,1.8,1.4,1.6,1.9,1.9,1.6,1.7,1.4,1.3,1.1,1.1,1.6,F,1.7,1.8,1.6,1.5,1.4,1.4,1.6,0.9,1.4,1.7,3.8,3.8,3.9,1.8,1.6,1.6
MOD15A2H.A2008057.h30v12.006.2021087135919.Lai_500m,MOD15A2H,A2008057,Lat-33.6152Lon150.7236Samp17Line17,2021087135919,5.6,5.4,1.9,0.7,2.6,2.3,1.2,2.0,2.1,2.3,2.1,2.1,2.0,2.4,2.5,1.6,0.9,5.4,5.4,2.0,1.6,2.2,2.3,2.3,2.2,2.1,2.2,3.0,3.0,2.4,1.6,1.2,1.0,F,5.3,5.5,2.6,2.4,2.1,2.2,2.2,2.2,2.2,3.0,2.1,2.2,1.2,1.1,2.4,F,1.6,5.4,2.6,2.3,2.2,2.1,2.4,2.1,2.5,2.1,2.0,1.6,2.4,2.3,1.5,1.7,0.9,1.3,2.3,2.1,2.1,2.1,2.1,2.1,1.8,1.9,2.1,1.1,1.1,1.9,1.0,1.0,1.4,1.1,F,2.2,2.1,1.9,1.9,1.9,2.1,1.3,1.3,1.1,1.6,1.0,1.3,0.9,1.3,F,F,F,2.1,1.9,1.7,2.0,2.2,1.4,1.5,2.2,1.0,0.9,1.2,1.0,1.3,1.4,1.5,F,F,1.4,1.5,2.0,1.0,2.1,1.5,F,F,0.8,1.8,1.9,2.0,2.0,1.1,F,F,1.3,2.2,2.0,2.1,1.8,F,1.3,1.6,1.5,1.5,1.9,1.7,2.0,1.5,1.5,1.7,3.2,3.6,1.4,1.9,1.1,F,1.1,1.0,1.5,1.6,2.1,2.0,1.8,1.9,2.2,1.7,3.2,3.0,1.2,1.7,F,F,1.1,1.0,1.5,1.4,1.9,1.7,2.0,1.3,1.8,2.3,3.4,1.5,1.2,1.8,F,0.9,F,1.2,1.1,0.9,1.0,1.3,1.7,1.3,2.0,2.1,2.0,2.0,F,1.3,F,0.9,1.2,F,F,F,1.7,1.2,1.3,1.9,1.1,1.5,1.5,1.0,1.4,F,F,F,0.6,0.6,0.7,1.0,1.7,1.2,1.4,1.8,1.6,1.6,1.8,1.0,F,F,F,F,F,1.4,1.2,1.0,1.2,1.6,1.7,1.0,1.2,1.6,1.5,1.8,F,1.5,F,F,1.1,0.8,F,1.0,1.2,1.7,1.7,1.5,1.2,1.5,1.9,1.7,1.4,1.3,1.5,1.5,1.1,0.8,1.1,F,1.6,1.8,1.4,1.4,1.2,1.2,1.5,0.8,1.0,1.3,F,2.3,2.5,1.4,1.5,1.6
MOD15A2H.A2008065.h30v12.006.2021088061240.Lai_500m,MOD15A2H,A2008065,Lat-33.6152Lon150.7236Samp17Line17,2021088061240,5.5,5.5,5.6,2.4,2.3,2.7,1.7,2.1,2.2,2.2,2.8,2.8,2.0,2.4,1.6,1.8,1.1,5.5,5.6,2.7,2.2,2.2,2.3,2.4,2.3,2.2,2.4,2.6,2.4,2.1,1.6,1.2,1.4,F,5.4,5.4,2.2,2.3,2.6,2.3,2.3,2.6,2.7,3.0,2.4,1.9,1.2,1.5,2.6,F,1.8,5.4,3.1,2.7,2.6,2.3,2.5,3.0,2.6,3.0,2.1,1.6,2.9,2.0,1.4,1.4,1.0,1.4,2.6,2.6,2.4,2.1,2.0,2.2,2.2,2.5,2.2,1.3,1.0,1.5,1.1,1.1,1.4,1.4,F,2.2,2.0,1.9,2.0,2.3,1.9,1.2,1.0,1.0,1.6,1.2,0.9,1.0,1.2,F,F,F,2.3,1.9,2.0,2.5,2.4,1.5,1.8,1.8,0.9,1.2,1.5,1.2,1.2,1.2,1.3,F,F,1.6,1.4,2.5,1.5,2.0,1.3,F,F,1.0,2.2,1.9,1.4,1.3,0.9,F,F,1.0,2.2,2.0,1.7,1.9,F,1.6,1.7,1.8,1.5,1.7,1.6,1.3,1.6,1.4,2.2,2.7,1.7,1.8,2.1,1.0,F,0.9,1.2,2.4,1.9,2.1,2.1,1.3,1.2,1.6,1.3,2.2,1.7,0.8,1.7,F,F,0.9,1.9,2.1,1.4,2.1,1.3,1.7,1.7,1.3,1.8,2.2,1.5,1.3,1.8,F,1.5,F,1.7,1.4,1.8,1.8,1.1,1.8,1.2,1.6,1.9,2.2,2.8,F,1.7,F,1.2,1.7,F,F,F,1.8,1.3,1.4,1.8,1.3,3.0,1.9,1.2,1.6,F,F,F,0.7,1.4,0.5,1.5,1.4,1.0,1.5,1.8,2.4,2.3,2.0,1.7,F,F,F,F,F,1.3,1.6,1.1,1.4,1.9,1.9,1.3,1.2,1.8,2.2,2.0,F,1.5,F,F,1.1,1.0,F,1.0,1.0,1.9,2.0,1.5,1.6,1.5,1.9,1.6,1.7,1.4,1.4,1.5,1.2,1.3,1.5,F,1.8,1.2,1.3,1.2,1.2,1.5,1.6,1.1,1.1,1.5,4.8,4.8,4.9,1.5,1.5,1.8
MOD15A2H.A2008073.h30v12.006.2021088223823.Lai_500m,MOD15A2H,A2008073,Lat-33.6152Lon150.7236Samp17Line17,2021088223823,5.1,5.2,5.7,2.5,2.3,2.3,1.5,2.3,2.4,2.4,2.5,2.6,2.4,2.7,2.0,2.0,1.2,5.6,5.6,2.8,2.3,2.5,2.5,2.6,2.4,2.4,2.3,2.7,2.6,2.6,2.0,1.4,1.3,F,5.4,5.4,2.4,2.4,2.4,2.6,2.5,2.5,2.7,2.5,2.6,2.6,1.4,1.5,1.5,F,1.6,5.4,2.7,2.4,2.4,2.4,2.4,2.4,2.2,2.5,2.5,2.1,2.3,2.7,1.5,1.6,1.1,1.5,2.5,2.5,2.3,2.3,2.1,2.2,2.2,2.1,2.4,1.2,1.2,1.5,1.1,1.1,1.2,1.4,F,2.3,2.2,1.8,1.8,2.2,2.3,1.4,1.4,1.1,2.2,1.0,1.1,0.9,1.4,F,F,F,2.2,1.8,1.8,2.3,1.9,1.5,1.7,2.0,1.0,1.5,1.5,1.5,1.3,1.5,1.2,F,F,1.7,1.5,2.4,1.5,2.0,1.5,F,F,1.0,2.2,2.3,1.3,1.4,1.1,F,F,1.0,2.3,2.0,1.9,2.4,F,1.8,1.5,1.5,2.2,2.3,1.9,1.3,1.1,1.3,1.3,1.1,1.1,2.0,1.9,1.1,F,1.2,1.2,1.5,1.5,1.5,1.9,1.4,1.5,1.4,1.0,1.4,1.4,1.1,1.6,F,F,1.0,1.6,1.6,1.4,1.6,1.6,1.6,1.5,1.3,1.5,1.5,1.1,1.3,1.1,F,1.0,F,1.4,1.2,1.4,1.3,1.3,1.6,1.4,1.2,1.2,1.5,1.4,F,1.2,F,1.0,1.0,F,F,F,1.1,1.5,1.1,1.2,1.2,1.2,1.2,1.0,1.0,F,F,F,0.7,0.7,0.7,0.9,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.0,F,F,F,F,F,1.5,1.1,1.1,1.1,1.2,1.2,1.1,1.2,1.3,1.2,1.3,F,1.0,F,F,1.0,1.0,F,1.0,1.0,1.2,1.2,1.3,1.2,1.2,1.3,1.3,1.3,1.6,1.8,1.8,1.0,1.1,1.4,F,1.2,1.2,1.1,1.6,1.5,1.2,1.3,1.0,1.5,1.6,4.9,4.7,5.0,1.8,1.8,1.8
