MOD15A2H.A2000049.h30v12.006.2020041210828.Fpar_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,0.15,0.25,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,F,F,F,F,F,F,F,F,F,F,F,0.06,0.06,0.15,0.13,0.13,F,F,F,0.36,F,F,F,F,F,F,F,0.06,0.15,0.23,0.17,0.25,F,0.2,0.36,0.24,0.24,F,F,F,F,F,F,F,F,F,F,0.25,F,0.15,0.29,0.29,0.31,F,F,F,F,F,F,F,0.08,F,F,F,0.25,0.25,0.25,0.29,F,F,F,F,F,F,F,F,F,F,F,0.25,0.25,0.25,0.37,0.42,0.42,0.28,F,F,F,F,F,F,F,F,F,F,0.25,0.35,0.44,0.42,F,F,F,F,F,F,F,F,F,F,0.22,0.23,0.35,0.35,0.35,F,F,F,F,F,F,F,F,F,F,F,0.22,0.22,0.35,0.35,0.35,F,F,0.4,0.4,0.36,F,F,F,F,F,F,0.21,0.35,0.35,0.34,F,F,F,0.47,0.4,F,F,0.38,0.47,0.47,F,0.21,F,0.25,0.28,0.28,F,F,0.44,0.47,0.44,0.31,0.31,F,F,0.47,F,0.22,0.25,F,F,F,0.28,0.29,0.29,0.32,0.35,0.31,0.31,F,F,F,F,F,0.22,0.23,F,F,0.29,0.29,0.29,F,F,F,F,F,F,F,F,F,F,F,F,F,0.29,0.25,0.25,0.39,F,F,F,F,F,0.13,F,F,0.28,0.28,F,0.45,0.45,0.25,0.36,0.36,0.39,F,F,F,0.13,0.13,0.25,0.25,0.25,F,F,F,0.45,0.58,0.59,0.59,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2002065.h30v12.006.2020069120929.Fpar_500m,MOD15A2H,A2002065,Lat-33.6152Lon150.7236Samp17Line17,2020069120929,0.84,0.86,0.89,0.89,0.81,0.83,0.69,0.78,0.8,0.79,0.83,0.8,0.82,0.86,0.91,0.85,0.68,0.86,0.89,0.83,0.82,0.82,0.85,0.82,0.76,0.79,0.81,0.8,0.82,0.85,0.91,0.75,0.68,F,0.86,0.88,0.78,0.81,0.81,0.79,0.77,0.77,0.79,0.75,0.82,0.85,0.77,0.76,0.81,F,0.7,0.88,0.78,0.76,0.73,0.75,0.82,0.76,0.75,0.74,0.78,0.8,0.86,0.81,0.5,0.59,0.48,0.61,0.69,0.73,0.69,0.8,0.8,0.78,0.75,0.78,0.78,0.7,0.68,0.74,0.38,0.48,0.54,0.61,F,0.65,0.82,0.8,0.75,0.8,0.82,0.72,0.69,0.67,0.73,0.6,0.69,0.61,0.54,F,F,F,0.74,0.82,0.84,0.77,0.82,0.77,0.81,0.59,0.58,0.65,0.69,0.53,0.63,0.7,0.65,F,F,0.7,0.69,0.77,0.75,0.78,0.6,F,F,0.65,0.7,0.69,0.64,0.68,0.58,F,F,0.66,0.8,0.68,0.59,0.69,F,0.65,0.68,0.65,0.59,0.65,0.62,0.66,0.63,0.58,0.71,F,0.82,0.73,0.73,0.61,F,0.65,0.54,0.6,0.6,0.65,0.71,0.69,0.63,0.68,0.66,0.8,0.81,0.73,0.69,F,F,0.28,0.53,0.64,0.64,0.69,0.71,0.74,0.63,0.68,0.68,0.51,0.66,0.85,0.74,F,0.37,F,0.53,0.57,0.57,0.62,0.6,0.65,0.57,0.55,0.55,0.58,0.78,F,0.57,F,0.33,0.47,F,F,F,0.6,0.6,0.63,0.66,0.58,0.59,0.63,0.57,0.53,F,F,F,0.36,0.28,0.48,0.57,0.6,0.59,0.59,0.66,0.62,0.59,0.63,0.61,F,F,F,F,F,0.42,0.52,0.58,0.61,0.67,0.7,0.61,0.6,0.67,0.65,0.71,F,0.55,F,F,0.46,0.46,F,0.47,0.59,0.65,0.7,0.65,0.67,0.67,0.69,0.61,0.61,0.5,0.53,0.53,0.51,0.5,0.52,F,0.65,0.66,0.58,0.58,0.59,0.61,0.69,0.49,0.46,0.49,0.79,0.78,0.79,0.5,0.67,0.72
MOD15A2H.A2002073.h30v12.006.2020069144924.Fpar_500m,MOD15A2H,A2002073,Lat-33.6152Lon150.7236Samp17Line17,2020069144924,0.83,0.83,0.88,0.89,0.76,0.72,0.66,0.76,0.75,0.79,0.75,0.75,0.76,0.75,0.76,0.77,0.66,0.86,0.86,0.76,0.75,0.75,0.8,0.76,0.73,0.73,0.73,0.75,0.75,0.74,0.81,0.7,0.7,F,0.84,0.87,0.75,0.71,0.8,0.75,0.75,0.72,0.73,0.75,0.75,0.77,0.72,0.72,0.72,F,0.65,0.87,0.73,0.71,0.69,0.74,0.73,0.72,0.68,0.68,0.74,0.75,0.82,0.61,0.61,0.45,0.43,0.53,0.62,0.61,0.74,0.77,0.77,0.71,0.71,0.73,0.73,0.67,0.67,0.58,0.45,0.44,0.6,0.52,F,0.66,0.73,0.75,0.72,0.72,0.72,0.69,0.67,0.63,0.61,0.58,0.45,0.45,0.57,F,F,F,0.63,0.78,0.72,0.72,0.83,0.69,0.67,0.67,0.53,0.61,0.61,0.54,0.59,0.63,0.59,F,F,0.68,0.67,0.77,0.63,0.56,0.69,F,F,0.55,0.7,0.65,0.6,0.63,0.54,F,F,0.59,0.65,0.69,0.6,0.63,F,0.57,0.59,0.61,0.6,0.62,0.65,0.65,0.63,0.62,0.73,0.73,0.73,0.69,0.59,0.51,F,0.61,0.58,0.58,0.6,0.64,0.66,0.65,0.66,0.62,0.62,0.73,0.79,0.65,0.6,F,F,0.39,0.49,0.57,0.59,0.69,0.69,0.67,0.61,0.61,0.55,0.65,0.67,0.68,0.64,F,0.29,F,0.49,0.57,0.57,0.57,0.59,0.61,0.58,0.55,0.53,0.55,0.63,F,0.57,F,0.36,0.49,F,F,F,0.58,0.56,0.59,0.57,0.53,0.54,0.57,0.53,0.53,F,F,F,0.32,0.34,0.37,0.51,0.58,0.56,0.56,0.59,0.57,0.54,0.58,0.58,F,F,F,F,F,0.5,0.42,0.51,0.59,0.6,0.61,0.57,0.55,0.59,0.65,0.61,F,0.5,F,F,0.4,0.39,F,0.48,0.51,0.61,0.61,0.6,0.57,0.64,0.66,0.61,0.61,0.49,0.47,0.47,0.46,0.42,0.51,F,0.59,0.6,0.56,0.56,0.57,0.64,0.55,0.53,0.46,0.45,0.8,0.8,0.81,0.53,0.53,0.71
MOD15A2H.A2002081.h30v12.006.2020069161451.Fpar_500m,MOD15A2H,A2002081,Lat-33.6152Lon150.7236Samp17Line17,2020069161451,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2002089.h30v12.006.2020070001149.Fpar_500m,MOD15A2H,A2002089,Lat-33.6152Lon150.7236Samp17Line17,2020070001149,0.8,F,F,0.9,0.83,0.82,0.67,0.75,0.78,0.82,0.84,0.8,0.79,0.85,0.85,0.75,0.71,F,F,0.86,0.85,0.82,0.86,0.82,0.78,0.8,0.81,0.79,0.76,0.83,0.84,0.68,0.64,F,F,0.87,0.77,0.81,0.78,0.82,0.81,0.76,0.82,0.74,0.79,0.83,0.64,0.68,0.66,F,0.67,0.86,0.79,0.66,0.78,0.8,0.79,0.79,0.71,0.72,0.79,0.78,0.82,0.83,0.6,0.55,0.51,0.5,0.68,0.66,0.76,0.81,0.74,0.79,0.78,0.78,0.81,0.63,0.65,0.6,0.53,0.45,0.58,0.59,F,0.61,0.77,0.76,0.8,0.78,0.78,0.69,0.68,0.59,0.72,0.59,0.47,0.47,0.58,F,F,F,0.7,0.82,0.78,0.78,0.84,0.71,0.81,0.76,0.53,0.59,0.6,0.5,0.57,0.57,0.54,F,F,0.71,0.68,0.79,0.69,0.59,0.6,F,F,0.59,0.69,0.69,0.59,0.67,0.49,F,F,0.52,0.78,0.63,0.55,0.74,F,0.62,0.62,0.58,0.53,0.56,0.65,0.67,0.64,0.58,0.63,0.76,0.71,0.55,0.72,0.59,F,0.62,0.43,0.63,0.65,0.64,0.72,0.62,0.7,0.62,0.54,0.73,0.71,0.67,0.65,F,F,0.28,0.44,0.49,0.58,0.72,0.71,0.65,0.59,0.62,0.63,0.74,0.67,0.6,0.56,F,0.2,F,0.49,0.43,0.55,0.58,0.59,0.67,0.51,0.61,0.59,0.63,0.58,F,0.6,F,0.34,0.42,F,F,F,0.54,0.51,0.59,0.54,0.47,0.55,0.59,0.5,0.49,F,F,F,0.34,0.35,0.4,0.48,0.51,0.51,0.59,0.65,0.58,0.57,0.66,0.66,F,F,F,F,F,0.45,0.45,0.46,0.51,0.57,0.61,0.55,0.55,0.7,0.61,0.72,F,0.54,F,F,0.45,0.45,F,0.47,0.53,0.71,0.64,0.63,0.57,0.64,0.69,0.64,0.51,0.41,0.48,0.45,0.48,0.48,0.56,F,0.6,0.66,0.54,0.52,0.52,0.58,0.57,0.5,0.4,0.49,0.8,0.8,0.81,0.48,0.6,0.76
MOD15A2H.A2002097.h30v12.006.2020070052318.Fpar_500m,MOD15A2H,A2002097,Lat-33.6152Lon150.7236Samp17Line17,2020070052318,0.85,0.86,0.89,0.89,0.85,0.8,0.67,0.8,0.76,0.8,0.8,0.77,0.77,0.79,0.82,0.86,0.67,0.86,0.89,0.87,0.83,0.81,0.72,0.8,0.76,0.78,0.78,0.79,0.79,0.76,0.8,0.66,0.6,F,0.86,0.88,0.78,0.76,0.81,0.78,0.75,0.76,0.8,0.77,0.77,0.78,0.66,0.66,0.67,F,0.68,0.88,0.78,0.76,0.74,0.74,0.75,0.74,0.79,0.71,0.77,0.77,0.71,0.76,0.64,0.62,0.52,0.54,0.72,0.72,0.72,0.78,0.77,0.74,0.71,0.75,0.75,0.64,0.67,0.66,0.51,0.53,0.63,0.6,F,0.66,0.76,0.78,0.76,0.75,0.75,0.69,0.68,0.64,0.72,0.61,0.6,0.59,0.53,F,F,F,0.76,0.73,0.73,0.7,0.75,0.69,0.76,0.71,0.6,0.6,0.6,0.53,0.59,0.58,0.56,F,F,0.66,0.66,0.72,0.7,0.67,0.64,F,F,0.6,0.73,0.66,0.63,0.63,0.55,F,F,0.61,0.74,0.67,0.54,0.59,F,0.63,0.62,0.61,0.6,0.68,0.63,0.65,0.63,0.59,0.65,0.61,0.58,0.7,0.7,0.6,F,0.63,0.5,0.64,0.64,0.7,0.71,0.7,0.68,0.65,0.61,0.63,0.63,0.67,0.65,F,F,0.36,0.53,0.66,0.65,0.69,0.72,0.71,0.6,0.65,0.68,0.66,0.64,0.63,0.56,F,0.31,F,0.56,0.53,0.56,0.55,0.53,0.66,0.6,0.51,0.48,0.69,0.55,F,0.56,F,0.3,0.49,F,F,F,0.55,0.51,0.58,0.64,0.5,0.48,0.56,0.52,0.54,F,F,F,0.36,0.29,0.46,0.54,0.52,0.51,0.58,0.58,0.57,0.55,0.61,0.59,F,F,F,F,F,0.56,0.52,0.45,0.52,0.66,0.7,0.53,0.49,0.68,0.66,0.7,F,0.51,F,F,0.44,0.41,F,0.47,0.58,0.66,0.7,0.64,0.6,0.63,0.62,0.7,0.6,0.48,0.5,0.5,0.48,0.39,0.49,F,0.64,0.66,0.62,0.62,0.57,0.45,0.6,0.45,0.49,0.52,0.79,0.78,0.77,0.49,0.64,0.75
MOD15A2H.A2002105.h30v12.006.2020070084821.Fpar_500m,MOD15A2H,A2002105,Lat-33.6152Lon150.7236Samp17Line17,2020070084821,F,F,0.9,0.9,0.79,0.77,0.63,0.72,0.76,0.75,0.76,0.71,0.73,0.79,0.84,0.79,0.7,F,F,0.8,0.8,0.74,0.81,0.79,0.74,0.72,0.76,0.71,0.79,0.8,0.8,0.61,0.58,F,F,F,0.82,0.79,0.72,0.72,0.74,0.72,0.76,0.68,0.76,0.76,0.62,0.64,0.76,F,0.63,F,0.94,0.82,0.69,0.73,0.7,0.75,0.75,0.76,0.76,0.72,0.77,0.77,0.67,0.56,0.45,0.5,0.94,0.82,0.83,0.69,0.75,0.75,0.72,0.72,0.72,0.62,0.6,0.52,0.47,0.45,0.58,0.55,F,0.71,0.73,0.75,0.8,0.74,0.79,0.67,0.58,0.62,0.69,0.61,0.58,0.58,0.55,F,F,F,0.73,0.78,0.78,0.75,0.8,0.65,0.73,0.71,0.65,0.59,0.58,0.47,0.53,0.57,0.63,F,F,0.58,0.66,0.75,0.65,0.68,0.73,F,F,0.59,0.72,0.63,0.58,0.63,0.52,F,F,0.59,0.78,0.64,0.75,0.61,F,0.59,0.67,0.57,0.54,0.59,0.67,0.61,0.61,0.6,0.67,0.66,0.57,0.52,0.66,0.54,F,0.59,0.45,0.55,0.55,0.64,0.67,0.64,0.67,0.64,0.53,0.66,0.76,0.57,0.66,F,F,0.29,0.42,0.55,0.6,0.65,0.67,0.71,0.67,0.59,0.6,0.75,0.42,0.63,0.66,F,0.22,F,0.47,0.41,0.46,0.57,0.52,0.58,0.44,0.46,0.56,0.63,0.79,F,0.66,F,0.3,0.33,F,F,F,0.54,0.52,0.52,0.61,0.45,0.85,0.79,0.5,0.59,F,F,F,0.28,0.29,0.27,0.54,0.54,0.52,0.52,0.6,0.58,0.92,0.68,0.78,F,F,F,F,F,0.27,0.41,0.44,0.54,0.62,0.63,0.53,0.51,0.62,0.77,0.83,F,0.68,F,F,0.42,0.42,F,0.45,0.46,0.61,0.63,0.55,0.61,0.64,0.81,0.72,0.65,0.58,0.5,0.5,0.5,0.61,0.54,F,0.64,0.61,0.51,0.47,0.61,0.75,0.57,0.41,0.48,0.41,0.81,0.79,0.83,0.61,0.64,0.76
MOD15A2H.A2002113.h30v12.006.2020070122631.Fpar_500m,MOD15A2H,A2002113,Lat-33.6152Lon150.7236Samp17Line17,2020070122631,F,F,0.9,0.9,0.84,0.82,0.69,0.79,0.79,0.79,0.8,0.79,0.76,0.71,0.83,0.8,0.57,F,0.89,0.88,0.84,0.85,0.84,0.82,0.79,0.79,0.79,0.76,0.76,0.71,0.69,0.68,0.68,F,0.9,0.9,0.8,0.86,0.84,0.81,0.75,0.75,0.84,0.76,0.73,0.73,0.62,0.64,0.76,F,0.65,0.9,0.8,0.83,0.8,0.81,0.81,0.85,0.81,0.76,0.77,0.75,0.77,0.67,0.76,0.61,0.45,0.5,0.8,0.74,0.76,0.78,0.75,0.82,0.81,0.75,0.71,0.6,0.6,0.67,0.57,0.47,0.6,0.57,F,0.74,0.77,0.74,0.75,0.77,0.79,0.69,0.65,0.6,0.76,0.68,0.62,0.62,0.57,F,F,F,0.77,0.76,0.73,0.76,0.81,0.69,0.76,0.79,0.68,0.62,0.68,0.58,0.57,0.59,0.6,F,F,0.7,0.73,0.77,0.59,0.8,0.76,F,F,0.56,0.67,0.7,0.56,0.66,0.57,F,F,0.64,0.69,0.61,0.75,0.74,F,0.61,0.62,0.68,0.67,0.68,0.72,0.67,0.67,0.61,0.69,0.69,0.52,0.64,0.72,0.62,F,0.53,0.57,0.63,0.63,0.63,0.74,0.72,0.67,0.65,0.57,0.64,0.78,0.66,0.69,F,F,0.36,0.37,0.59,0.63,0.71,0.67,0.77,0.73,0.65,0.69,0.81,0.54,0.74,0.62,F,0.35,F,0.53,0.55,0.48,0.67,0.63,0.68,0.54,0.57,0.61,0.82,0.65,F,0.55,F,0.41,0.46,F,F,F,0.57,0.57,0.63,0.62,0.53,0.61,0.6,0.45,0.56,F,F,F,0.43,0.27,0.38,0.57,0.57,0.57,0.57,0.62,0.61,0.64,0.64,0.63,F,F,F,F,F,0.5,0.59,0.49,0.53,0.64,0.64,0.57,0.58,0.64,0.67,0.68,F,0.61,F,F,0.47,0.43,F,0.47,0.59,0.64,0.74,0.68,0.56,0.63,0.67,0.68,0.61,0.49,0.52,0.5,0.47,0.43,0.53,F,0.65,0.67,0.58,0.56,0.56,0.63,0.67,0.42,0.45,0.58,0.78,0.76,0.74,0.58,0.67,0.74
MOD15A2H.A2002121.h30v12.006.2020070160214.Fpar_500m,MOD15A2H,A2002121,Lat-33.6152Lon150.7236Samp17Line17,2020070160214,F,F,F,0.9,0.82,0.81,0.65,0.74,0.77,0.8,0.77,0.76,0.77,0.81,0.78,0.74,0.63,F,0.9,0.84,0.8,0.81,0.8,0.81,0.8,0.73,0.77,0.76,0.71,0.72,0.73,0.68,0.69,F,0.84,0.85,0.8,0.79,0.84,0.74,0.73,0.79,0.81,0.76,0.74,0.71,0.63,0.68,0.75,F,0.67,F,0.8,0.78,0.73,0.79,0.78,0.82,0.82,0.75,0.76,0.71,0.76,0.81,0.79,0.62,0.45,0.51,0.75,0.72,0.78,0.74,0.74,0.82,0.8,0.75,0.72,0.56,0.62,0.69,0.67,0.49,0.6,0.58,F,0.67,0.71,0.74,0.71,0.76,0.8,0.66,0.61,0.56,0.73,0.62,0.64,0.6,0.57,F,F,F,0.71,0.71,0.72,0.76,0.79,0.68,0.77,0.74,0.66,0.62,0.64,0.52,0.56,0.6,0.52,F,F,0.69,0.69,0.81,0.66,0.76,0.68,F,F,0.61,0.71,0.7,0.63,0.67,0.57,F,F,0.61,0.66,0.74,0.66,0.61,F,0.63,0.65,0.66,0.63,0.67,0.66,0.67,0.67,0.64,0.72,0.74,0.68,0.56,0.68,0.6,F,0.62,0.55,0.63,0.61,0.67,0.71,0.73,0.66,0.64,0.57,0.68,0.75,0.6,0.64,F,F,0.42,0.53,0.65,0.64,0.71,0.71,0.77,0.67,0.64,0.71,0.82,0.7,0.67,0.59,F,0.47,F,0.51,0.5,0.52,0.54,0.56,0.63,0.52,0.62,0.6,0.7,0.64,F,0.53,F,0.47,0.43,F,F,F,0.56,0.55,0.57,0.62,0.46,0.57,0.54,0.41,0.49,F,F,F,0.28,0.38,0.39,0.53,0.56,0.54,0.55,0.62,0.62,0.57,0.62,0.6,F,F,F,F,F,0.44,0.5,0.47,0.56,0.65,0.66,0.56,0.54,0.66,0.63,0.68,F,0.45,F,F,0.43,0.43,F,0.42,0.49,0.67,0.66,0.6,0.52,0.62,0.64,0.57,0.6,0.43,0.5,0.49,0.46,0.47,0.57,F,0.67,0.67,0.55,0.5,0.52,0.52,0.57,0.41,0.39,0.51,F,0.69,0.72,0.47,0.57,0.69
MOD15A2H.A2002129.h30v12.006.2020070230411.Fpar_500m,MOD15A2H,A2002129,Lat-33.6152Lon150.7236Samp17Line17,2020070230411,F,0.9,0.9,0.9,0.83,0.8,0.66,0.74,0.77,0.79,0.79,0.76,0.74,0.82,0.78,0.72,0.6,0.9,0.9,0.83,0.82,0.82,0.82,0.82,0.78,0.73,0.78,0.77,0.74,0.73,0.81,0.73,0.75,F,0.9,0.9,0.79,0.82,0.82,0.77,0.74,0.82,0.78,0.77,0.73,0.76,0.66,0.68,0.84,F,0.62,0.9,0.8,0.82,0.76,0.76,0.77,0.82,0.8,0.72,0.76,0.71,0.74,0.8,0.67,0.6,0.5,0.46,0.8,0.74,0.76,0.75,0.74,0.81,0.82,0.73,0.73,0.56,0.58,0.68,0.55,0.5,0.64,0.56,F,0.72,0.75,0.74,0.72,0.77,0.76,0.65,0.59,0.57,0.75,0.62,0.64,0.6,0.57,F,F,F,0.71,0.69,0.75,0.76,0.81,0.66,0.71,0.71,0.62,0.65,0.68,0.57,0.58,0.57,0.57,F,F,0.71,0.71,0.81,0.68,0.74,0.68,F,F,0.57,0.7,0.67,0.64,0.59,0.57,F,F,0.57,0.73,0.71,0.71,0.72,F,0.63,0.65,0.65,0.6,0.67,0.68,0.68,0.64,0.62,0.72,0.73,0.63,0.71,0.68,0.57,F,0.57,0.57,0.6,0.67,0.68,0.71,0.68,0.68,0.61,0.57,0.7,0.67,0.52,0.63,F,F,0.41,0.56,0.63,0.59,0.71,0.71,0.73,0.65,0.64,0.69,0.82,0.7,0.64,0.61,F,0.42,F,0.49,0.51,0.51,0.6,0.63,0.62,0.57,0.63,0.71,0.85,0.73,F,0.53,F,0.41,0.48,F,F,F,0.55,0.55,0.57,0.59,0.51,0.57,0.54,0.48,0.51,F,F,F,0.41,0.32,0.4,0.48,0.56,0.54,0.56,0.61,0.54,0.61,0.62,0.64,F,F,F,F,F,0.48,0.52,0.47,0.54,0.55,0.6,0.56,0.56,0.68,0.63,0.66,F,0.53,F,F,0.44,0.43,F,0.49,0.54,0.67,0.67,0.63,0.57,0.57,0.69,0.64,0.56,0.47,0.51,0.5,0.5,0.46,0.53,F,0.64,0.64,0.61,0.55,0.55,0.55,0.62,0.54,0.45,0.52,0.78,0.78,0.78,0.52,0.62,0.68
MOD15A2H.A2002137.h30v12.006.2020071041520.Fpar_500m,MOD15A2H,A2002137,Lat-33.6152Lon150.7236Samp17Line17,2020071041520,0.85,0.9,0.88,0.89,0.79,0.76,0.65,0.75,0.71,0.74,0.78,0.75,0.74,0.77,0.75,0.69,0.52,F,0.9,0.81,0.77,0.76,0.76,0.77,0.76,0.72,0.76,0.73,0.74,0.77,0.81,0.76,0.75,F,0.9,0.89,0.77,0.77,0.8,0.72,0.74,0.78,0.76,0.73,0.7,0.81,0.65,0.65,0.8,F,0.61,0.89,0.78,0.76,0.76,0.74,0.78,0.78,0.75,0.75,0.73,0.72,0.71,0.69,0.68,0.59,0.49,0.58,0.71,0.71,0.75,0.72,0.74,0.78,0.79,0.7,0.7,0.57,0.57,0.67,0.47,0.47,0.58,0.57,F,0.68,0.75,0.72,0.7,0.72,0.75,0.62,0.57,0.57,0.69,0.61,0.58,0.58,0.57,F,F,F,0.69,0.72,0.72,0.72,0.77,0.65,0.7,0.7,0.57,0.58,0.62,0.57,0.57,0.57,0.56,F,F,0.62,0.64,0.71,0.57,0.74,0.67,F,F,0.57,0.62,0.65,0.61,0.54,0.45,F,F,0.58,0.62,0.71,0.68,0.62,F,0.58,0.62,0.61,0.62,0.65,0.66,0.62,0.56,0.59,0.65,0.65,0.67,0.59,0.59,0.5,F,0.47,0.56,0.61,0.55,0.66,0.68,0.66,0.69,0.57,0.57,0.66,0.67,0.46,0.56,F,F,0.42,0.44,0.55,0.65,0.66,0.68,0.64,0.62,0.59,0.7,0.66,0.57,0.6,0.45,F,0.34,F,0.53,0.53,0.53,0.56,0.56,0.64,0.59,0.62,0.71,0.7,0.62,F,0.54,F,0.35,0.37,F,F,F,0.56,0.48,0.55,0.59,0.54,0.54,0.53,0.54,0.52,F,F,F,0.28,0.3,0.37,0.44,0.5,0.56,0.56,0.54,0.54,0.57,0.63,0.56,F,F,F,F,F,0.5,0.53,0.46,0.47,0.56,0.61,0.57,0.57,0.61,0.57,0.62,F,0.54,F,F,0.45,0.43,F,0.48,0.55,0.57,0.62,0.58,0.57,0.58,0.66,0.61,0.53,0.48,0.5,0.49,0.49,0.49,0.53,F,0.61,0.61,0.58,0.57,0.57,0.56,0.57,0.53,0.5,0.55,0.81,0.81,0.8,0.51,0.62,0.62
MOD15A2H.A2002145.h30v12.006.2020071075114.Fpar_500m,MOD15A2H,A2002145,Lat-33.6152Lon150.7236Samp17Line17,2020071075114,0.78,0.78,0.9,0.89,0.76,0.8,0.67,0.71,0.77,0.78,0.78,0.77,0.8,0.79,0.76,0.68,0.61,F,0.9,0.85,0.82,0.78,0.77,0.8,0.78,0.72,0.77,0.76,0.76,0.77,0.88,0.77,0.75,F,0.9,0.9,0.82,0.81,0.8,0.81,0.75,0.77,0.75,0.74,0.71,0.77,0.7,0.69,0.87,F,0.59,0.9,0.8,0.8,0.75,0.76,0.75,0.78,0.77,0.69,0.73,0.64,0.76,0.77,0.56,0.61,0.44,0.54,0.74,0.67,0.75,0.71,0.76,0.85,0.75,0.73,0.73,0.56,0.68,0.8,0.54,0.41,0.6,0.56,F,0.67,0.82,0.76,0.74,0.71,0.72,0.7,0.59,0.75,0.86,0.68,0.69,0.57,0.6,F,F,F,0.72,0.69,0.68,0.77,0.77,0.7,0.76,0.64,0.63,0.62,0.69,0.57,0.57,0.56,0.53,F,F,0.69,0.67,0.75,0.7,0.78,0.71,F,F,0.62,0.68,0.68,0.62,0.64,0.51,F,F,0.57,0.79,0.7,0.67,0.68,F,0.64,0.67,0.67,0.6,0.67,0.62,0.64,0.59,0.61,0.66,0.68,0.72,0.57,0.58,0.53,F,0.64,0.54,0.62,0.71,0.68,0.71,0.76,0.64,0.61,0.6,0.69,0.72,0.54,0.61,F,F,0.37,0.55,0.63,0.68,0.68,0.71,0.68,0.64,0.57,0.73,0.69,0.62,0.62,0.59,F,0.33,F,0.54,0.57,0.57,0.54,0.61,0.68,0.57,0.62,0.8,0.8,0.63,F,0.5,F,0.39,0.44,F,F,F,0.53,0.54,0.56,0.62,0.54,0.6,0.6,0.51,0.49,F,F,F,0.35,0.37,0.46,0.47,0.55,0.55,0.56,0.63,0.61,0.6,0.62,0.63,F,F,F,F,F,0.43,0.53,0.48,0.56,0.62,0.63,0.57,0.55,0.67,0.63,0.67,F,0.51,F,F,0.45,0.43,F,0.47,0.55,0.68,0.64,0.64,0.57,0.63,0.67,0.62,0.6,0.58,0.58,0.53,0.48,0.54,0.54,F,0.66,0.66,0.53,0.58,0.58,0.63,0.65,0.5,0.44,0.62,0.8,0.75,0.75,0.61,0.58,0.63
